SystemPath,Design Documents.Document,Design Documents.Document Type,Design Documents.Document Description
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-01",GG-DIS-01 CAD SHT 1-Model.pdf,Inspection Drawing PDF,GG-DIS-01 CAD SHT 1-Model
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-01",GG-DIS-01 CAD SHT 2-Model.pdf,Inspection Drawing PDF,GG-DIS-01 CAD SHT 2-Model
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-01",GG-DIS-01 CAD SHT 1.dwg,Inspection Drawing,GG-DIS-01 CAD SHT 1
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-01",GG-DIS-01 CAD SHT 2.dwg,Inspection Drawing,GG-DIS-01 CAD SHT 2
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-02",GG-DIS-02 CAD-Model.pdf,Inspection Drawing PDF,GG-DIS-02 CAD-Model
"XCEL > Golden Grain Energy > Mason City, IA > Unit > Piping > GG-DIS-02",GG-DIS-02 CAD.dwg,Inspection Drawing,GG-DIS-02 CAD
